transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
180,05-11-2022,10:47:00,117,Male,41,Clothing,3,300,129,900
522,09-07-2022,11:00:00,52,Male,46,Beauty,3,500,145,1500
559,12-03-2022,10:48:00,5,Female,40,Clothing,4,300,84,1200
1180,13-11-2021,08:53:00,85,Male,41,Clothing,3,300,129,900
1522,17-07-2021,08:35:00,48,Male,46,Beauty,3,500,235,1500
1559,20-03-2021,07:40:00,49,Female,40,Clothing,4,300,144,1200
163,21-11-2020,09:38:00,144,Female,64,Clothing,3,50,23,150
303,25-07-2020,11:09:00,54,Male,19,Electronics,3,30,14.7,90
421,28-03-2020,08:43:00,66,Female,37,Clothing,3,500,235,1500
979,30-11-2019,10:18:00,6,Female,19,Beauty,1,25,10.5,25
1163,03-08-2019,10:52:00,120,Female,64,Clothing,3,50,27,150
1303,06-04-2019,08:59:00,58,Male,19,Electronics,3,30,15,90
1421,08-12-2018,07:07:00,59,Female,37,Clothing,3,500,185,1500
1979,11-08-2018,11:34:00,102,Female,19,Beauty,1,25,7.75,25
610,14-04-2018,06:56:00,137,Female,26,Beauty,2,300,93,600
1610,16-12-2017,10:18:00,1,Female,26,Beauty,2,300,102,600
32,19-08-2017,09:11:00,150,Male,30,Beauty,3,30,8.4,90
231,22-04-2017,07:02:00,50,Female,23,Clothing,3,50,26.5,150
683,24-12-2016,10:22:00,82,Male,38,Beauty,2,500,175,1000
1032,27-08-2016,08:15:00,1,Male,30,Beauty,3,30,10.5,90
1231,30-04-2016,07:05:00,12,Female,23,Clothing,3,50,23,150
1683,02-01-2016,07:19:00,98,Male,38,Beauty,2,500,220,1000
367,05-09-2015,07:03:00,123,Female,57,Electronics,1,50,18,50
391,09-05-2015,07:37:00,68,Male,19,Beauty,2,25,6.25,50
432,10-01-2015,11:31:00,17,Female,,Electronics,2,500,190,1000
1367,13-09-2014,11:38:00,16,Female,,Electronics,1,50,15.5,50
1391,17-05-2014,11:29:00,130,Male,,Beauty,2,25,9.25,50
1432,18-01-2014,06:24:00,67,Female,,Electronics,2,500,245,1000
150,21-09-2013,08:25:00,89,Female,,Electronics,4,30,16.2,120
845,25-05-2013,10:12:00,25,Male,,Clothing,1,500,145,500
1150,26-01-2013,10:04:00,77,Female,,Electronics,4,30,10.2,120
1845,29-09-2012,07:06:00,94,Male,,Clothing,1,500,185,500
797,02-06-2012,06:38:00,116,Male,,Clothing,3,25,10.75,75
921,04-02-2012,09:34:00,101,Male,,Electronics,3,25,8,75
1797,08-10-2011,11:47:00,147,Male,40,Clothing,3,25,12.25,75
1921,11-06-2011,07:01:00,77,Male,51,Electronics,3,25,7.5,75
291,12-02-2011,08:29:00,15,Male,60,Clothing,2,300,126,600
907,16-10-2010,06:16:00,145,Female,45,Electronics,1,25,8.5,25
1291,19-06-2010,11:19:00,72,Male,60,Clothing,2,300,153,600
1907,20-02-2010,11:21:00,115,Female,45,Electronics,1,25,9,25
860,24-10-2009,08:58:00,85,Male,63,Clothing,4,50,16,200
1860,27-06-2009,11:21:00,57,Male,63,Clothing,4,50,18,200
184,28-02-2009,06:44:00,128,Male,31,Electronics,4,50,17,200
734,01-11-2008,08:54:00,77,Female,27,Clothing,1,30,15.6,30
1184,05-07-2008,08:28:00,23,Male,31,Electronics,4,50,27.5,200
1734,08-03-2008,08:58:00,72,Female,27,Clothing,1,30,14.4,30
225,10-11-2007,07:37:00,85,Female,57,Beauty,4,25,12.75,100
679,14-07-2007,08:59:00,64,Female,18,Beauty,,,,
746,17-03-2007,11:33:00,42,Female,33,Clothing,,,,
1225,18-11-2006,09:51:00,137,Female,57,Beauty,,,,
1679,22-07-2006,08:08:00,71,Female,18,Beauty,3,30,15.3,90
1746,25-03-2006,07:59:00,88,Female,33,Clothing,3,30,10.8,90
3,26-11-2005,07:08:00,114,Male,50,Electronics,1,30,8.1,30
464,30-07-2005,11:13:00,24,Male,38,Electronics,2,300,75,600
484,02-04-2005,07:52:00,135,Female,19,Clothing,4,300,75,1200
591,04-12-2004,08:38:00,94,Male,53,Electronics,4,25,6.5,100
1003,07-08-2004,07:59:00,80,Male,50,Electronics,1,30,15.9,30
1464,10-04-2004,10:06:00,80,Male,38,Electronics,2,300,126,600
1484,13-12-2003,09:29:00,22,Female,19,Clothing,4,300,147,1200
1591,16-08-2003,11:00:00,62,Male,53,Electronics,4,25,7,100
21,19-04-2003,07:33:00,59,Female,50,Beauty,1,500,275,500
708,21-12-2002,08:38:00,62,Female,43,Beauty,3,300,87,900
713,24-08-2002,11:43:00,39,Male,34,Beauty,3,25,11.25,75
768,27-04-2002,06:50:00,58,Female,24,Beauty,3,25,10.5,75
1021,29-12-2001,10:19:00,44,Female,50,Beauty,1,500,155,500
1708,01-09-2001,07:47:00,41,Female,43,Beauty,3,300,162,900
1713,05-05-2001,10:10:00,90,Male,34,Beauty,3,25,10.75,75
1768,06-01-2001,09:52:00,85,Female,24,Beauty,3,25,8.75,75
499,09-09-2000,10:52:00,15,Male,46,Beauty,2,30,16.5,60
697,13-05-2000,07:52:00,152,Male,53,Clothing,1,500,200,500
831,15-01-2000,11:49:00,149,Male,27,Electronics,4,25,13.75,100
1499,18-09-1999,09:46:00,3,Male,46,Beauty,2,30,11.7,60
1697,22-05-1999,08:22:00,54,Male,53,Clothing,1,500,265,500
1831,23-01-1999,10:54:00,80,Male,27,Electronics,4,25,6.5,100
15,26-09-1998,11:50:00,75,Female,42,Electronics,4,500,210,2000
743,30-05-1998,07:54:00,55,Female,34,Beauty,4,500,260,2000
1015,31-01-1998,11:53:00,94,Female,42,Electronics,4,500,200,2000
1743,04-10-1997,09:37:00,47,Female,34,Beauty,4,500,250,2000
14,07-06-1997,07:11:00,8,Male,64,Clothing,4,30,13.2,120
103,08-02-1997,10:05:00,33,Female,59,Clothing,1,25,10.75,25
238,12-10-1996,11:52:00,20,Female,39,Beauty,1,500,150,500
986,15-06-1996,09:35:00,65,Female,49,Clothing,2,500,200,1000
1014,17-02-1996,10:26:00,147,Male,64,Clothing,4,30,11.4,120
1103,21-10-1995,07:11:00,61,Female,59,Clothing,1,25,6.75,25
1238,24-06-1995,07:38:00,129,Female,39,Beauty,1,500,165,500
1986,25-02-1995,08:28:00,29,Female,49,Clothing,2,500,145,1000
438,29-10-1994,10:15:00,88,Female,42,Clothing,1,30,15.9,30
1438,02-07-1994,10:00:00,72,Female,42,Clothing,1,30,13.8,30
475,05-03-1994,10:39:00,78,Male,26,Clothing,3,25,9,75
